station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ILZ;16.02.1944 00:00;0;;
ILZ;17.02.1944 00:00;0;;
ILZ;18.02.1944 00:00;0;;
ILZ;19.02.1944 00:00;0;;
ILZ;20.02.1944 00:00;0;;
ILZ;21.02.1944 00:00;0;;
ILZ;22.02.1944 00:00;0;;
ILZ;23.02.1944 00:00;0;;
ILZ;24.02.1944 00:00;0;;
ILZ;25.02.1944 00:00;0;;
ILZ;26.02.1944 00:00;0;;
ILZ;27.02.1944 00:00;0;;
ILZ;28.02.1944 00:00;2.8;;
ILZ;29.02.1944 00:00;1.7;;
ILZ;01.03.1944 00:00;0.3;;
ILZ;02.03.1944 00:00;1.6;;
ILZ;03.03.1944 00:00;0;;
ILZ;04.03.1944 00:00;0;;
ILZ;05.03.1944 00:00;0;;
ILZ;06.03.1944 00:00;0;;
ILZ;07.03.1944 00:00;0;;
ILZ;08.03.1944 00:00;0;;
ILZ;09.03.1944 00:00;0;;
ILZ;10.03.1944 00:00;0;;
ILZ;11.03.1944 00:00;7.8;;
ILZ;12.03.1944 00:00;6;;
ILZ;13.03.1944 00:00;10.4;;
ILZ;14.03.1944 00:00;9.9;;
ILZ;15.03.1944 00:00;0;;
ILZ;16.03.1944 00:00;0;;
ILZ;17.03.1944 00:00;0;;
ILZ;18.03.1944 00:00;0;;
ILZ;19.03.1944 00:00;0;;
ILZ;20.03.1944 00:00;4;;
ILZ;21.03.1944 00:00;11.7;;
ILZ;22.03.1944 00:00;0.9;;
ILZ;23.03.1944 00:00;0;;
ILZ;24.03.1944 00:00;0;;
ILZ;25.03.1944 00:00;0;;
ILZ;26.03.1944 00:00;12.5;;
ILZ;27.03.1944 00:00;2.3;;
ILZ;28.03.1944 00:00;0;;
ILZ;29.03.1944 00:00;0;;
ILZ;30.03.1944 00:00;2.5;;
ILZ;31.03.1944 00:00;3.8;;
ILZ;01.04.1944 00:00;0;;
ILZ;02.04.1944 00:00;0;;
ILZ;03.04.1944 00:00;0;;
ILZ;04.04.1944 00:00;0.3;;
ILZ;05.04.1944 00:00;0.2;;
ILZ;06.04.1944 00:00;0;;
ILZ;07.04.1944 00:00;0;;
ILZ;08.04.1944 00:00;0;;
ILZ;09.04.1944 00:00;0;;
ILZ;10.04.1944 00:00;0;;
ILZ;11.04.1944 00:00;0;;
ILZ;12.04.1944 00:00;2.1;;
ILZ;13.04.1944 00:00;0;;
ILZ;14.04.1944 00:00;0;;
ILZ;15.04.1944 00:00;0;;
ILZ;16.04.1944 00:00;1.8;;
ILZ;17.04.1944 00:00;0;;
ILZ;18.04.1944 00:00;0.6;;
ILZ;19.04.1944 00:00;0;;
ILZ;20.04.1944 00:00;1.4;;
ILZ;21.04.1944 00:00;0;;
ILZ;22.04.1944 00:00;0;;
ILZ;23.04.1944 00:00;0;;
ILZ;24.04.1944 00:00;0;;
ILZ;25.04.1944 00:00;3.9;;
ILZ;26.04.1944 00:00;0;;
ILZ;27.04.1944 00:00;0;;
ILZ;28.04.1944 00:00;0;;
ILZ;29.04.1944 00:00;0;;
ILZ;30.04.1944 00:00;0.3;;
ILZ;01.05.1944 00:00;0;;
ILZ;02.05.1944 00:00;0;;
ILZ;03.05.1944 00:00;0;;
ILZ;04.05.1944 00:00;0;;
ILZ;05.05.1944 00:00;0;;
ILZ;06.05.1944 00:00;1.9;;
ILZ;07.05.1944 00:00;3.2;;
ILZ;08.05.1944 00:00;0;;
ILZ;09.05.1944 00:00;0;;
ILZ;10.05.1944 00:00;2.5;;
ILZ;11.05.1944 00:00;0;;
ILZ;12.05.1944 00:00;0;;
ILZ;13.05.1944 00:00;0;;
ILZ;14.05.1944 00:00;0.1;;
ILZ;15.05.1944 00:00;4.2;;
ILZ;16.05.1944 00:00;4.6;;
ILZ;17.05.1944 00:00;13.5;;
ILZ;18.05.1944 00:00;0;;
ILZ;19.05.1944 00:00;0;;
ILZ;20.05.1944 00:00;0;;
ILZ;21.05.1944 00:00;3.6;;
ILZ;22.05.1944 00:00;0;;
ILZ;23.05.1944 00:00;0;;
ILZ;24.05.1944 00:00;0;;
ILZ;25.05.1944 00:00;0;;
ILZ;26.05.1944 00:00;0;;
ILZ;27.05.1944 00:00;0;;
ILZ;28.05.1944 00:00;0;;
ILZ;29.05.1944 00:00;0;;
ILZ;30.05.1944 00:00;0;;
ILZ;31.05.1944 00:00;0;;
ILZ;01.06.1944 00:00;0.1;;
ILZ;02.06.1944 00:00;0;;
ILZ;03.06.1944 00:00;0;;
ILZ;04.06.1944 00:00;0;;
ILZ;05.06.1944 00:00;7.6;;
ILZ;06.06.1944 00:00;3.6;;
ILZ;07.06.1944 00:00;4.1;;
ILZ;08.06.1944 00:00;0;;
ILZ;09.06.1944 00:00;0;;
ILZ;10.06.1944 00:00;4.2;;
ILZ;11.06.1944 00:00;0;;
ILZ;12.06.1944 00:00;0;;
ILZ;13.06.1944 00:00;0;;
ILZ;14.06.1944 00:00;4;;
ILZ;15.06.1944 00:00;0;;
ILZ;16.06.1944 00:00;1.3;;
ILZ;17.06.1944 00:00;2.3;;
ILZ;18.06.1944 00:00;2.1;;
ILZ;19.06.1944 00:00;0;;
ILZ;20.06.1944 00:00;0;;
ILZ;21.06.1944 00:00;0;;
ILZ;22.06.1944 00:00;0;;
ILZ;23.06.1944 00:00;0;;
ILZ;24.06.1944 00:00;0;;
ILZ;25.06.1944 00:00;0;;
ILZ;26.06.1944 00:00;3.6;;
ILZ;27.06.1944 00:00;0;;
ILZ;28.06.1944 00:00;0;;
ILZ;29.06.1944 00:00;11.5;;
ILZ;30.06.1944 00:00;0;;
ILZ;01.07.1944 00:00;0;;
ILZ;02.07.1944 00:00;0;;
ILZ;03.07.1944 00:00;17.2;;
ILZ;04.07.1944 00:00;19.6;;
ILZ;05.07.1944 00:00;0;;
ILZ;06.07.1944 00:00;0;;
ILZ;07.07.1944 00:00;0;;
ILZ;08.07.1944 00:00;4.8;;
ILZ;09.07.1944 00:00;4.8;;
ILZ;10.07.1944 00:00;0;;
ILZ;11.07.1944 00:00;5.1;;
ILZ;12.07.1944 00:00;0;;
ILZ;13.07.1944 00:00;0;;
ILZ;14.07.1944 00:00;0;;
ILZ;15.07.1944 00:00;0;;
ILZ;16.07.1944 00:00;0;;
ILZ;17.07.1944 00:00;0;;
ILZ;18.07.1944 00:00;0;;
ILZ;19.07.1944 00:00;0;;
ILZ;20.07.1944 00:00;9.6;;
ILZ;21.07.1944 00:00;20.3;;
ILZ;22.07.1944 00:00;2.9;;
ILZ;23.07.1944 00:00;0;;
ILZ;24.07.1944 00:00;0;;
ILZ;25.07.1944 00:00;0;;
ILZ;26.07.1944 00:00;0;;
ILZ;27.07.1944 00:00;6.1;;
ILZ;28.07.1944 00:00;0.2;;
ILZ;29.07.1944 00:00;3.1;;
ILZ;30.07.1944 00:00;0;;
ILZ;31.07.1944 00:00;1.8;;
ILZ;01.08.1944 00:00;0.2;;
ILZ;02.08.1944 00:00;0;;
ILZ;03.08.1944 00:00;0.2;;
ILZ;04.08.1944 00:00;1.9;;
ILZ;05.08.1944 00:00;0.3;;
ILZ;06.08.1944 00:00;2.9;;
ILZ;07.08.1944 00:00;3.6;;
ILZ;08.08.1944 00:00;0;;
ILZ;09.08.1944 00:00;0;;
ILZ;10.08.1944 00:00;0;;
ILZ;11.08.1944 00:00;0;;
ILZ;12.08.1944 00:00;0;;
ILZ;13.08.1944 00:00;0;;
ILZ;14.08.1944 00:00;0;;
ILZ;15.08.1944 00:00;2.6;;
ILZ;16.08.1944 00:00;0;;
ILZ;17.08.1944 00:00;0;;
ILZ;18.08.1944 00:00;0;;
ILZ;19.08.1944 00:00;0;;
ILZ;20.08.1944 00:00;0;;
ILZ;21.08.1944 00:00;0;;
ILZ;22.08.1944 00:00;0;;
ILZ;23.08.1944 00:00;0;;
ILZ;24.08.1944 00:00;16.4;;
ILZ;25.08.1944 00:00;0;;
ILZ;26.08.1944 00:00;0;;
ILZ;27.08.1944 00:00;1.4;;
ILZ;28.08.1944 00:00;10.4;;
ILZ;29.08.1944 00:00;3.7;;
ILZ;30.08.1944 00:00;3.3;;
ILZ;31.08.1944 00:00;20.3;;
ILZ;01.09.1944 00:00;11.2;;
ILZ;02.09.1944 00:00;44.4;;
ILZ;03.09.1944 00:00;0;;
ILZ;04.09.1944 00:00;0;;
ILZ;05.09.1944 00:00;0;;
ILZ;06.09.1944 00:00;0;;
ILZ;07.09.1944 00:00;5.1;;
ILZ;08.09.1944 00:00;10.2;;
ILZ;09.09.1944 00:00;0.6;;
ILZ;10.09.1944 00:00;5.3;;
ILZ;11.09.1944 00:00;0;;
ILZ;12.09.1944 00:00;0;;
ILZ;13.09.1944 00:00;0;;
ILZ;14.09.1944 00:00;3.1;;
ILZ;15.09.1944 00:00;0;;
ILZ;16.09.1944 00:00;0;;
ILZ;17.09.1944 00:00;0;;
ILZ;18.09.1944 00:00;0;;
ILZ;19.09.1944 00:00;0;;
ILZ;20.09.1944 00:00;17.5;;
ILZ;21.09.1944 00:00;0;;
ILZ;22.09.1944 00:00;0;;
ILZ;23.09.1944 00:00;3.4;;
ILZ;24.09.1944 00:00;5.2;;
ILZ;25.09.1944 00:00;0;;
ILZ;26.09.1944 00:00;4.2;;
ILZ;27.09.1944 00:00;1.2;;
ILZ;28.09.1944 00:00;0;;
ILZ;29.09.1944 00:00;0;;
ILZ;30.09.1944 00:00;0;;
ILZ;01.10.1944 00:00;3.1;;
ILZ;02.10.1944 00:00;4;;
ILZ;03.10.1944 00:00;0;;
ILZ;04.10.1944 00:00;3.1;;
ILZ;05.10.1944 00:00;2.8;;
ILZ;06.10.1944 00:00;3.5;;
ILZ;07.10.1944 00:00;15.5;;
ILZ;08.10.1944 00:00;0.3;;
ILZ;09.10.1944 00:00;5.5;;
ILZ;10.10.1944 00:00;1;;
ILZ;11.10.1944 00:00;0.2;;
ILZ;12.10.1944 00:00;0;;
ILZ;13.10.1944 00:00;0;;
ILZ;14.10.1944 00:00;0;;
ILZ;15.10.1944 00:00;0;;
ILZ;16.10.1944 00:00;0;;
ILZ;17.10.1944 00:00;0.8;;
ILZ;18.10.1944 00:00;13.9;;
ILZ;19.10.1944 00:00;10.3;;
ILZ;20.10.1944 00:00;0;;
ILZ;21.10.1944 00:00;0;;
ILZ;22.10.1944 00:00;1.2;;
ILZ;23.10.1944 00:00;0.2;;
ILZ;24.10.1944 00:00;0;;
ILZ;25.10.1944 00:00;0;;
ILZ;26.10.1944 00:00;0.5;;
ILZ;27.10.1944 00:00;1.4;;
ILZ;28.10.1944 00:00;0.3;;
ILZ;29.10.1944 00:00;0.2;;
ILZ;30.10.1944 00:00;1.3;;
ILZ;31.10.1944 00:00;0;;
ILZ;01.11.1944 00:00;0;;
ILZ;02.11.1944 00:00;4.1;;
ILZ;03.11.1944 00:00;0;;
ILZ;04.11.1944 00:00;0;;
ILZ;05.11.1944 00:00;0;;
ILZ;06.11.1944 00:00;0;;
ILZ;07.11.1944 00:00;55.2;;
ILZ;08.11.1944 00:00;19.5;;
ILZ;09.11.1944 00:00;15.2;;
ILZ;10.11.1944 00:00;15.6;;
ILZ;11.11.1944 00:00;12;;
ILZ;12.11.1944 00:00;0;;
ILZ;13.11.1944 00:00;0.2;;
ILZ;14.11.1944 00:00;0;;
ILZ;15.11.1944 00:00;3.4;;
ILZ;16.11.1944 00:00;0;;
ILZ;17.11.1944 00:00;0;;
ILZ;18.11.1944 00:00;0;;
ILZ;19.11.1944 00:00;0;;
ILZ;20.11.1944 00:00;10;;
ILZ;21.11.1944 00:00;1.5;;
ILZ;22.11.1944 00:00;12.2;;
ILZ;23.11.1944 00:00;34.4;;
ILZ;24.11.1944 00:00;0;;
ILZ;25.11.1944 00:00;2.2;;
ILZ;26.11.1944 00:00;0;;
ILZ;27.11.1944 00:00;0;;
ILZ;28.11.1944 00:00;0;;
ILZ;29.11.1944 00:00;0;;
ILZ;30.11.1944 00:00;0;;
ILZ;01.12.1944 00:00;0;;
ILZ;02.12.1944 00:00;1.7;;
ILZ;03.12.1944 00:00;24.3;;
ILZ;04.12.1944 00:00;12.6;;
ILZ;05.12.1944 00:00;1.8;;
ILZ;06.12.1944 00:00;0;;
ILZ;07.12.1944 00:00;0;;
ILZ;08.12.1944 00:00;12.4;;
ILZ;09.12.1944 00:00;0;;
ILZ;10.12.1944 00:00;0;;
ILZ;11.12.1944 00:00;0;;
ILZ;12.12.1944 00:00;1;;
ILZ;13.12.1944 00:00;0.8;;
ILZ;14.12.1944 00:00;0;;
ILZ;15.12.1944 00:00;0;;
ILZ;16.12.1944 00:00;0;;
ILZ;17.12.1944 00:00;0;;
ILZ;18.12.1944 00:00;0;;
ILZ;19.12.1944 00:00;0;;
ILZ;20.12.1944 00:00;0;;
ILZ;21.12.1944 00:00;0;;
ILZ;22.12.1944 00:00;0;;
ILZ;23.12.1944 00:00;0;;
ILZ;24.12.1944 00:00;0;;
ILZ;25.12.1944 00:00;0;;
ILZ;26.12.1944 00:00;0;;
ILZ;27.12.1944 00:00;0;;
ILZ;28.12.1944 00:00;0;;
ILZ;29.12.1944 00:00;0;;
ILZ;30.12.1944 00:00;0;;
ILZ;31.12.1944 00:00;6.1;;
ILZ;01.01.1945 00:00;0.5;;
ILZ;02.01.1945 00:00;0;;
ILZ;03.01.1945 00:00;0;;
ILZ;04.01.1945 00:00;0;;
ILZ;05.01.1945 00:00;0;;
ILZ;06.01.1945 00:00;2.1;;
ILZ;07.01.1945 00:00;0;;
ILZ;08.01.1945 00:00;0;;
ILZ;09.01.1945 00:00;0;;
ILZ;10.01.1945 00:00;0;;
ILZ;11.01.1945 00:00;0;;
ILZ;12.01.1945 00:00;0;;
ILZ;13.01.1945 00:00;0;;
ILZ;14.01.1945 00:00;0;;
ILZ;15.01.1945 00:00;0;;
ILZ;16.01.1945 00:00;0;;
ILZ;17.01.1945 00:00;0;;
ILZ;18.01.1945 00:00;0;;
ILZ;19.01.1945 00:00;4.8;;
ILZ;20.01.1945 00:00;1.2;;
ILZ;21.01.1945 00:00;5.7;;
ILZ;22.01.1945 00:00;0;;
ILZ;23.01.1945 00:00;0;;
ILZ;24.01.1945 00:00;0;;
ILZ;25.01.1945 00:00;0;;
ILZ;26.01.1945 00:00;0.2;;
ILZ;27.01.1945 00:00;4;;
ILZ;28.01.1945 00:00;0;;
ILZ;29.01.1945 00:00;0;;
ILZ;30.01.1945 00:00;6.5;;
ILZ;31.01.1945 00:00;5;;
ILZ;01.02.1945 00:00;1.8;;
ILZ;02.02.1945 00:00;0;;
ILZ;03.02.1945 00:00;0;;
ILZ;04.02.1945 00:00;0;;
ILZ;05.02.1945 00:00;21.3;;
ILZ;06.02.1945 00:00;8.4;;
ILZ;07.02.1945 00:00;0;;
ILZ;08.02.1945 00:00;6.2;;
ILZ;09.02.1945 00:00;5;;
ILZ;10.02.1945 00:00;0;;
ILZ;11.02.1945 00:00;30;;
ILZ;12.02.1945 00:00;4.2;;
ILZ;13.02.1945 00:00;0;;
ILZ;14.02.1945 00:00;0;;
ILZ;15.02.1945 00:00;0;;
ILZ;16.02.1945 00:00;0;;
ILZ;17.02.1945 00:00;0;;
ILZ;18.02.1945 00:00;0;;
ILZ;19.02.1945 00:00;0;;
ILZ;20.02.1945 00:00;0.7;;
ILZ;21.02.1945 00:00;0;;
ILZ;22.02.1945 00:00;0;;
ILZ;23.02.1945 00:00;0;;
ILZ;24.02.1945 00:00;0;;
ILZ;25.02.1945 00:00;0;;
ILZ;26.02.1945 00:00;0;;
ILZ;27.02.1945 00:00;0;;
ILZ;28.02.1945 00:00;0;;
ILZ;01.03.1945 00:00;0.8;;
ILZ;02.03.1945 00:00;0;;
ILZ;03.03.1945 00:00;0;;
ILZ;04.03.1945 00:00;18.2;;
ILZ;05.03.1945 00:00;1.7;;
ILZ;06.03.1945 00:00;16.9;;
ILZ;07.03.1945 00:00;28.2;;
ILZ;08.03.1945 00:00;23.1;;
ILZ;09.03.1945 00:00;0;;
ILZ;10.03.1945 00:00;0;;
ILZ;11.03.1945 00:00;0;;
ILZ;12.03.1945 00:00;0;;
ILZ;13.03.1945 00:00;0;;
ILZ;14.03.1945 00:00;0;;
ILZ;15.03.1945 00:00;0;;
ILZ;16.03.1945 00:00;0;;
ILZ;17.03.1945 00:00;0;;
ILZ;18.03.1945 00:00;0;;
ILZ;19.03.1945 00:00;0;;
ILZ;20.03.1945 00:00;0;;
ILZ;21.03.1945 00:00;0;;
ILZ;22.03.1945 00:00;0;;
ILZ;23.03.1945 00:00;0;;
ILZ;24.03.1945 00:00;0;;
ILZ;25.03.1945 00:00;0;;
ILZ;26.03.1945 00:00;1.2;;
ILZ;27.03.1945 00:00;31.9;;
ILZ;28.03.1945 00:00;3.1;;
ILZ;29.03.1945 00:00;3.7;;
ILZ;30.03.1945 00:00;4.6;;
ILZ;31.03.1945 00:00;0;;
ILZ;01.04.1945 00:00;0;;
ILZ;02.04.1945 00:00;0;;
ILZ;03.04.1945 00:00;0;;
ILZ;04.04.1945 00:00;0;;
ILZ;05.04.1945 00:00;2.4;;
ILZ;06.04.1945 00:00;5.2;;
ILZ;07.04.1945 00:00;0;;
ILZ;08.04.1945 00:00;0;;
ILZ;09.04.1945 00:00;0;;
ILZ;10.04.1945 00:00;0;;
ILZ;11.04.1945 00:00;0;;
ILZ;12.04.1945 00:00;1.1;;
ILZ;13.04.1945 00:00;2.6;;
ILZ;14.04.1945 00:00;0;;
ILZ;15.04.1945 00:00;0;;
ILZ;16.04.1945 00:00;0;;
ILZ;17.04.1945 00:00;1.8;;
ILZ;18.04.1945 00:00;0;;
ILZ;19.04.1945 00:00;0;;
ILZ;20.04.1945 00:00;0;;
ILZ;21.04.1945 00:00;17.8;;
ILZ;22.04.1945 00:00;5.5;;
ILZ;23.04.1945 00:00;0;;
ILZ;24.04.1945 00:00;0;;
ILZ;25.04.1945 00:00;0;;
ILZ;26.04.1945 00:00;0;;
ILZ;27.04.1945 00:00;20;;
ILZ;28.04.1945 00:00;2.8;;
ILZ;29.04.1945 00:00;0;;
ILZ;30.04.1945 00:00;0.6;;
ILZ;01.05.1945 00:00;7.6;;
ILZ;02.05.1945 00:00;0.3;;
ILZ;03.05.1945 00:00;0;;
ILZ;04.05.1945 00:00;0;;
ILZ;05.05.1945 00:00;1.5;;
ILZ;06.05.1945 00:00;0;;
ILZ;07.05.1945 00:00;0;;
ILZ;08.05.1945 00:00;0;;
ILZ;09.05.1945 00:00;0;;
ILZ;10.05.1945 00:00;0;;
ILZ;11.05.1945 00:00;0;;
ILZ;12.05.1945 00:00;0;;
ILZ;13.05.1945 00:00;0;;
ILZ;14.05.1945 00:00;0;;
ILZ;15.05.1945 00:00;0;;
ILZ;16.05.1945 00:00;0;;
ILZ;17.05.1945 00:00;0;;
ILZ;18.05.1945 00:00;0;;
ILZ;19.05.1945 00:00;0;;
ILZ;20.05.1945 00:00;0;;
ILZ;21.05.1945 00:00;58.5;;
ILZ;22.05.1945 00:00;3.1;;
ILZ;23.05.1945 00:00;18.2;;
ILZ;24.05.1945 00:00;0;;
ILZ;25.05.1945 00:00;8.5;;
ILZ;26.05.1945 00:00;3.6;;
ILZ;27.05.1945 00:00;0;;
ILZ;28.05.1945 00:00;0;;
ILZ;29.05.1945 00:00;4.7;;
ILZ;30.05.1945 00:00;11;;
ILZ;31.05.1945 00:00;0;;
ILZ;01.06.1945 00:00;0;;
ILZ;02.06.1945 00:00;0;;
ILZ;03.06.1945 00:00;0;;
ILZ;04.06.1945 00:00;0;;
ILZ;05.06.1945 00:00;1.8;;
ILZ;06.06.1945 00:00;0;;
ILZ;07.06.1945 00:00;0;;
ILZ;08.06.1945 00:00;3.3;;
ILZ;09.06.1945 00:00;5.1;;
ILZ;10.06.1945 00:00;0;;
ILZ;11.06.1945 00:00;0;;
ILZ;12.06.1945 00:00;17.8;;
ILZ;13.06.1945 00:00;0;;
ILZ;14.06.1945 00:00;0;;
ILZ;15.06.1945 00:00;0;;
ILZ;16.06.1945 00:00;2.3;;
ILZ;17.06.1945 00:00;0;;
ILZ;18.06.1945 00:00;0;;
ILZ;19.06.1945 00:00;0;;
ILZ;20.06.1945 00:00;0.7;;
ILZ;21.06.1945 00:00;1.7;;
ILZ;22.06.1945 00:00;1.6;;
ILZ;23.06.1945 00:00;0;;
ILZ;24.06.1945 00:00;3;;
ILZ;25.06.1945 00:00;0.8;;
ILZ;26.06.1945 00:00;0.6;;
ILZ;27.06.1945 00:00;2.5;;
ILZ;28.06.1945 00:00;3.6;;
ILZ;29.06.1945 00:00;1.3;;
ILZ;30.06.1945 00:00;0;;
ILZ;01.07.1945 00:00;0.2;;
ILZ;02.07.1945 00:00;5;;
ILZ;03.07.1945 00:00;1.8;;
ILZ;04.07.1945 00:00;0;;
ILZ;05.07.1945 00:00;0;;
ILZ;06.07.1945 00:00;0.5;;
ILZ;07.07.1945 00:00;4;;
ILZ;08.07.1945 00:00;0;;
ILZ;09.07.1945 00:00;1.3;;
ILZ;10.07.1945 00:00;22.7;;
ILZ;11.07.1945 00:00;0;;
ILZ;12.07.1945 00:00;0;;
ILZ;13.07.1945 00:00;0;;
ILZ;14.07.1945 00:00;0;;
ILZ;15.07.1945 00:00;0;;
ILZ;16.07.1945 00:00;0.6;;
ILZ;17.07.1945 00:00;0;;
ILZ;18.07.1945 00:00;0;;
ILZ;19.07.1945 00:00;1.3;;
ILZ;20.07.1945 00:00;0;;
ILZ;21.07.1945 00:00;0;;
ILZ;22.07.1945 00:00;0;;
ILZ;23.07.1945 00:00;0;;
ILZ;24.07.1945 00:00;0;;
ILZ;25.07.1945 00:00;0;;
ILZ;26.07.1945 00:00;0;;
ILZ;27.07.1945 00:00;2.7;;
ILZ;28.07.1945 00:00;3;;
ILZ;29.07.1945 00:00;0;;
ILZ;30.07.1945 00:00;1;;
ILZ;31.07.1945 00:00;0;;
ILZ;01.08.1945 00:00;0;;
ILZ;02.08.1945 00:00;0;;
ILZ;03.08.1945 00:00;0;;
ILZ;04.08.1945 00:00;0;;
ILZ;05.08.1945 00:00;0;;
ILZ;06.08.1945 00:00;1.1;;
ILZ;07.08.1945 00:00;21.5;;
ILZ;08.08.1945 00:00;45.6;;
ILZ;09.08.1945 00:00;38.1;;
ILZ;10.08.1945 00:00;13.6;;
ILZ;11.08.1945 00:00;0.8;;
ILZ;12.08.1945 00:00;0;;
ILZ;13.08.1945 00:00;1.7;;
ILZ;14.08.1945 00:00;6.1;;
ILZ;15.08.1945 00:00;3;;
ILZ;16.08.1945 00:00;0.5;;
ILZ;17.08.1945 00:00;0;;
ILZ;18.08.1945 00:00;20.4;;
ILZ;19.08.1945 00:00;7.3;;
ILZ;20.08.1945 00:00;0.6;;
ILZ;21.08.1945 00:00;2.4;;
ILZ;22.08.1945 00:00;0.3;;
ILZ;23.08.1945 00:00;1.9;;
ILZ;24.08.1945 00:00;0;;
ILZ;25.08.1945 00:00;0;;
ILZ;26.08.1945 00:00;0;;
ILZ;27.08.1945 00:00;0;;
ILZ;28.08.1945 00:00;0;;
ILZ;29.08.1945 00:00;0;;
ILZ;30.08.1945 00:00;8.9;;
ILZ;31.08.1945 00:00;2.5;;
ILZ;01.09.1945 00:00;0;;
ILZ;02.09.1945 00:00;0;;
ILZ;03.09.1945 00:00;0;;
ILZ;04.09.1945 00:00;10.2;;
ILZ;05.09.1945 00:00;5.8;;
ILZ;06.09.1945 00:00;0;;
ILZ;07.09.1945 00:00;0;;
ILZ;08.09.1945 00:00;6.8;;
ILZ;09.09.1945 00:00;4.3;;
ILZ;10.09.1945 00:00;0.7;;
ILZ;11.09.1945 00:00;0;;
ILZ;12.09.1945 00:00;0;;
ILZ;13.09.1945 00:00;0;;
ILZ;14.09.1945 00:00;0;;
ILZ;15.09.1945 00:00;0;;
ILZ;16.09.1945 00:00;0;;
ILZ;17.09.1945 00:00;0;;
ILZ;18.09.1945 00:00;0;;
ILZ;19.09.1945 00:00;9.3;;
ILZ;20.09.1945 00:00;0;;
ILZ;21.09.1945 00:00;0;;
ILZ;22.09.1945 00:00;0;;
ILZ;23.09.1945 00:00;26.4;;
ILZ;24.09.1945 00:00;0;;
ILZ;25.09.1945 00:00;3;;
ILZ;26.09.1945 00:00;1.1;;
ILZ;27.09.1945 00:00;9.6;;
ILZ;28.09.1945 00:00;16.2;;
ILZ;29.09.1945 00:00;1.2;;
ILZ;30.09.1945 00:00;0;;
ILZ;01.10.1945 00:00;1.2;;
ILZ;02.10.1945 00:00;0.2;;
ILZ;03.10.1945 00:00;0;;
ILZ;04.10.1945 00:00;0.3;;
ILZ;05.10.1945 00:00;0.2;;
ILZ;06.10.1945 00:00;4.2;;
ILZ;07.10.1945 00:00;0.4;;
ILZ;08.10.1945 00:00;0;;
ILZ;09.10.1945 00:00;0;;
ILZ;10.10.1945 00:00;0;;
ILZ;11.10.1945 00:00;0;;
ILZ;12.10.1945 00:00;0;;
ILZ;13.10.1945 00:00;0;;
ILZ;14.10.1945 00:00;0;;
ILZ;15.10.1945 00:00;0;;
ILZ;16.10.1945 00:00;0;;
ILZ;17.10.1945 00:00;0;;
ILZ;18.10.1945 00:00;0;;
ILZ;19.10.1945 00:00;0;;
ILZ;20.10.1945 00:00;0;;
ILZ;21.10.1945 00:00;0;;
ILZ;22.10.1945 00:00;6.6;;
ILZ;23.10.1945 00:00;2.7;;
ILZ;24.10.1945 00:00;20;;
ILZ;25.10.1945 00:00;0;;
ILZ;26.10.1945 00:00;0;;
ILZ;27.10.1945 00:00;0;;
ILZ;28.10.1945 00:00;0.8;;
ILZ;29.10.1945 00:00;88.7;;
ILZ;30.10.1945 00:00;0;;
ILZ;31.10.1945 00:00;0;;
ILZ;01.11.1945 00:00;0.3;;
ILZ;02.11.1945 00:00;0;;
ILZ;03.11.1945 00:00;0;;
ILZ;04.11.1945 00:00;0;;
ILZ;05.11.1945 00:00;0;;
ILZ;06.11.1945 00:00;0;;
ILZ;07.11.1945 00:00;0;;
ILZ;08.11.1945 00:00;15;;
ILZ;09.11.1945 00:00;15.7;;
ILZ;10.11.1945 00:00;2.5;;
ILZ;11.11.1945 00:00;0.8;;
ILZ;12.11.1945 00:00;0;;
ILZ;13.11.1945 00:00;0;;
ILZ;14.11.1945 00:00;0;;
ILZ;15.11.1945 00:00;0;;
ILZ;16.11.1945 00:00;0;;
ILZ;17.11.1945 00:00;0;;
ILZ;18.11.1945 00:00;0;;
ILZ;19.11.1945 00:00;0;;
ILZ;20.11.1945 00:00;0;;
ILZ;21.11.1945 00:00;0;;
ILZ;22.11.1945 00:00;0;;
ILZ;23.11.1945 00:00;0;;
ILZ;24.11.1945 00:00;0;;
ILZ;25.11.1945 00:00;0;;
ILZ;26.11.1945 00:00;0.2;;
ILZ;27.11.1945 00:00;0.4;;
ILZ;28.11.1945 00:00;0;;
ILZ;29.11.1945 00:00;0;;
ILZ;30.11.1945 00:00;0;;
ILZ;01.12.1945 00:00;0;;
ILZ;02.12.1945 00:00;1.3;;
ILZ;03.12.1945 00:00;2.8;;
ILZ;04.12.1945 00:00;1.2;;
ILZ;05.12.1945 00:00;1.6;;
ILZ;06.12.1945 00:00;2;;
ILZ;07.12.1945 00:00;0.2;;
ILZ;08.12.1945 00:00;0;;
ILZ;09.12.1945 00:00;0;;
ILZ;10.12.1945 00:00;0;;
ILZ;11.12.1945 00:00;0.5;;
ILZ;12.12.1945 00:00;3.6;;
ILZ;13.12.1945 00:00;2.7;;
ILZ;14.12.1945 00:00;2;;
ILZ;15.12.1945 00:00;0;;
ILZ;16.12.1945 00:00;0;;
ILZ;17.12.1945 00:00;0;;
ILZ;18.12.1945 00:00;10.1;;
ILZ;19.12.1945 00:00;35.4;;
ILZ;20.12.1945 00:00;3.8;;
ILZ;21.12.1945 00:00;0;;
