station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
HEB;20.06.1955 00:00;23.2;;
HEB;21.06.1955 00:00;7.9;;
HEB;22.06.1955 00:00;5.5;;
HEB;23.06.1955 00:00;0;;
HEB;24.06.1955 00:00;0;;
HEB;25.06.1955 00:00;5.2;;
HEB;26.06.1955 00:00;2.7;;
HEB;27.06.1955 00:00;0;;
HEB;28.06.1955 00:00;0;;
HEB;29.06.1955 00:00;0;;
HEB;30.06.1955 00:00;0;;
HEB;01.07.1955 00:00;0;;
HEB;02.07.1955 00:00;6.6;;
HEB;03.07.1955 00:00;2.7;;
HEB;04.07.1955 00:00;0.3;;
HEB;05.07.1955 00:00;3.5;;
HEB;06.07.1955 00:00;0;;
HEB;07.07.1955 00:00;4.7;;
HEB;08.07.1955 00:00;0;;
HEB;09.07.1955 00:00;0;;
HEB;10.07.1955 00:00;0;;
HEB;11.07.1955 00:00;2.8;;
HEB;12.07.1955 00:00;0;;
HEB;13.07.1955 00:00;7.5;;
HEB;14.07.1955 00:00;7.2;;
HEB;15.07.1955 00:00;0;;
HEB;16.07.1955 00:00;0;;
HEB;17.07.1955 00:00;0;;
HEB;18.07.1955 00:00;2.6;;
HEB;19.07.1955 00:00;2.1;;
HEB;20.07.1955 00:00;0;;
HEB;21.07.1955 00:00;18.6;;
HEB;22.07.1955 00:00;0.3;;
HEB;23.07.1955 00:00;0;;
HEB;24.07.1955 00:00;0;;
HEB;25.07.1955 00:00;0;;
HEB;26.07.1955 00:00;0;;
HEB;27.07.1955 00:00;31.1;;
HEB;28.07.1955 00:00;11.9;;
HEB;29.07.1955 00:00;7.4;;
HEB;30.07.1955 00:00;0;;
HEB;31.07.1955 00:00;0;;
HEB;01.08.1955 00:00;0;;
HEB;02.08.1955 00:00;0;;
HEB;03.08.1955 00:00;3.6;;
HEB;04.08.1955 00:00;0;;
HEB;05.08.1955 00:00;0;;
HEB;06.08.1955 00:00;0;;
HEB;07.08.1955 00:00;5.7;;
HEB;08.08.1955 00:00;0;;
HEB;09.08.1955 00:00;0;;
HEB;10.08.1955 00:00;0;;
HEB;11.08.1955 00:00;1.5;;
HEB;12.08.1955 00:00;4.4;;
HEB;13.08.1955 00:00;0;;
HEB;14.08.1955 00:00;0;;
HEB;15.08.1955 00:00;6.5;;
HEB;16.08.1955 00:00;0;;
HEB;17.08.1955 00:00;0;;
HEB;18.08.1955 00:00;0;;
HEB;19.08.1955 00:00;0;;
HEB;20.08.1955 00:00;0;;
HEB;21.08.1955 00:00;0;;
HEB;22.08.1955 00:00;0;;
HEB;23.08.1955 00:00;0;;
HEB;24.08.1955 00:00;0;;
HEB;25.08.1955 00:00;2.2;;
HEB;26.08.1955 00:00;2.9;;
HEB;27.08.1955 00:00;20;;
HEB;28.08.1955 00:00;0.6;;
HEB;29.08.1955 00:00;0;;
HEB;30.08.1955 00:00;13.7;;
HEB;31.08.1955 00:00;12.9;;
HEB;01.09.1955 00:00;0;;
HEB;02.09.1955 00:00;0;;
HEB;03.09.1955 00:00;0;;
HEB;04.09.1955 00:00;0.7;;
HEB;05.09.1955 00:00;16.2;;
HEB;06.09.1955 00:00;12.9;;
HEB;07.09.1955 00:00;0;;
HEB;08.09.1955 00:00;0;;
HEB;09.09.1955 00:00;10.5;;
HEB;10.09.1955 00:00;14.4;;
HEB;11.09.1955 00:00;0;;
HEB;12.09.1955 00:00;0;;
HEB;13.09.1955 00:00;2.8;;
HEB;14.09.1955 00:00;22;;
HEB;15.09.1955 00:00;4.9;;
HEB;16.09.1955 00:00;0;;
HEB;17.09.1955 00:00;0;;
HEB;18.09.1955 00:00;0;;
HEB;19.09.1955 00:00;0;;
HEB;20.09.1955 00:00;0;;
HEB;21.09.1955 00:00;0;;
HEB;22.09.1955 00:00;0;;
HEB;23.09.1955 00:00;0;;
HEB;24.09.1955 00:00;0;;
HEB;25.09.1955 00:00;0;;
HEB;26.09.1955 00:00;4.1;;
HEB;27.09.1955 00:00;0.6;;
HEB;28.09.1955 00:00;8.3;;
HEB;29.09.1955 00:00;0;;
HEB;30.09.1955 00:00;0;;
HEB;01.10.1955 00:00;0;;
HEB;02.10.1955 00:00;0;;
HEB;03.10.1955 00:00;0;;
HEB;04.10.1955 00:00;8.5;;
HEB;05.10.1955 00:00;1;;
HEB;06.10.1955 00:00;10.7;;
HEB;07.10.1955 00:00;1.8;;
HEB;08.10.1955 00:00;0;;
HEB;09.10.1955 00:00;0;;
HEB;10.10.1955 00:00;0;;
HEB;11.10.1955 00:00;0;;
HEB;12.10.1955 00:00;0;;
HEB;13.10.1955 00:00;0;;
HEB;14.10.1955 00:00;0;;
HEB;15.10.1955 00:00;0;;
HEB;16.10.1955 00:00;0;;
HEB;17.10.1955 00:00;0;;
HEB;18.10.1955 00:00;0;;
HEB;19.10.1955 00:00;0;;
HEB;20.10.1955 00:00;0;;
HEB;21.10.1955 00:00;0.3;;
HEB;22.10.1955 00:00;0;;
HEB;23.10.1955 00:00;0;;
HEB;24.10.1955 00:00;0.2;;
HEB;25.10.1955 00:00;0;;
HEB;26.10.1955 00:00;0;;
HEB;27.10.1955 00:00;0.4;;
HEB;28.10.1955 00:00;0;;
HEB;29.10.1955 00:00;0;;
HEB;30.10.1955 00:00;0;;
HEB;31.10.1955 00:00;0;;
HEB;01.11.1955 00:00;0;;
HEB;02.11.1955 00:00;0;;
HEB;03.11.1955 00:00;0;;
HEB;04.11.1955 00:00;2;;
HEB;05.11.1955 00:00;2.6;;
HEB;06.11.1955 00:00;0.4;;
HEB;07.11.1955 00:00;0;;
HEB;08.11.1955 00:00;0;;
HEB;09.11.1955 00:00;3.1;;
HEB;10.11.1955 00:00;0;;
HEB;11.11.1955 00:00;0;;
HEB;12.11.1955 00:00;0;;
HEB;13.11.1955 00:00;0;;
HEB;14.11.1955 00:00;0;;
HEB;15.11.1955 00:00;0;;
HEB;16.11.1955 00:00;0;;
HEB;17.11.1955 00:00;0;;
HEB;18.11.1955 00:00;0;;
HEB;19.11.1955 00:00;0;;
HEB;20.11.1955 00:00;0;;
HEB;21.11.1955 00:00;0;;
HEB;22.11.1955 00:00;0;;
HEB;23.11.1955 00:00;1.5;;
HEB;24.11.1955 00:00;5.6;;
HEB;25.11.1955 00:00;0;;
HEB;26.11.1955 00:00;0;;
HEB;27.11.1955 00:00;0;;
HEB;28.11.1955 00:00;0;;
HEB;29.11.1955 00:00;0;;
HEB;30.11.1955 00:00;0;;
HEB;01.12.1955 00:00;0;;
HEB;02.12.1955 00:00;0;;
HEB;03.12.1955 00:00;4.1;;
HEB;04.12.1955 00:00;1.1;;
HEB;05.12.1955 00:00;0;;
HEB;06.12.1955 00:00;0;;
HEB;07.12.1955 00:00;0;;
HEB;08.12.1955 00:00;0;;
HEB;09.12.1955 00:00;0;;
HEB;10.12.1955 00:00;8.7;;
HEB;11.12.1955 00:00;11.8;;
HEB;12.12.1955 00:00;0;;
HEB;13.12.1955 00:00;0;;
HEB;14.12.1955 00:00;9.2;;
HEB;15.12.1955 00:00;8.6;;
HEB;16.12.1955 00:00;4.6;;
HEB;17.12.1955 00:00;9.6;;
HEB;18.12.1955 00:00;9.2;;
HEB;19.12.1955 00:00;0;;
HEB;20.12.1955 00:00;2.7;;
HEB;21.12.1955 00:00;0.6;;
HEB;22.12.1955 00:00;1.7;;
HEB;23.12.1955 00:00;7.6;;
HEB;24.12.1955 00:00;1.6;;
HEB;25.12.1955 00:00;1.3;;
HEB;26.12.1955 00:00;4.5;;
HEB;27.12.1955 00:00;7.7;;
HEB;28.12.1955 00:00;5.7;;
HEB;29.12.1955 00:00;9.2;;
HEB;30.12.1955 00:00;8.7;;
HEB;31.12.1955 00:00;0.2;;
HEB;01.01.1956 00:00;3;;
HEB;02.01.1956 00:00;0.2;;
HEB;03.01.1956 00:00;0;;
HEB;04.01.1956 00:00;0;;
HEB;05.01.1956 00:00;0;;
HEB;06.01.1956 00:00;0;;
HEB;07.01.1956 00:00;0;;
HEB;08.01.1956 00:00;0;;
HEB;09.01.1956 00:00;6.2;;
HEB;10.01.1956 00:00;1.4;;
HEB;11.01.1956 00:00;0;;
HEB;12.01.1956 00:00;5.2;;
HEB;13.01.1956 00:00;6.9;;
HEB;14.01.1956 00:00;0;;
HEB;15.01.1956 00:00;5;;
HEB;16.01.1956 00:00;0;;
HEB;17.01.1956 00:00;7.9;;
HEB;18.01.1956 00:00;5.5;;
HEB;19.01.1956 00:00;0;;
HEB;20.01.1956 00:00;0;;
HEB;21.01.1956 00:00;0;;
HEB;22.01.1956 00:00;0;;
HEB;23.01.1956 00:00;5.7;;
HEB;24.01.1956 00:00;0;;
HEB;25.01.1956 00:00;1.4;;
HEB;26.01.1956 00:00;27.5;;
HEB;27.01.1956 00:00;2.1;;
HEB;28.01.1956 00:00;6.5;;
HEB;29.01.1956 00:00;17.3;;
HEB;30.01.1956 00:00;0;;
HEB;31.01.1956 00:00;0;;
HEB;01.02.1956 00:00;0;;
HEB;02.02.1956 00:00;0;;
HEB;03.02.1956 00:00;0;;
HEB;04.02.1956 00:00;0;;
HEB;05.02.1956 00:00;0;;
HEB;06.02.1956 00:00;0;;
HEB;07.02.1956 00:00;0;;
HEB;08.02.1956 00:00;1.3;;
HEB;09.02.1956 00:00;1;;
HEB;10.02.1956 00:00;0;;
HEB;11.02.1956 00:00;1.4;;
HEB;12.02.1956 00:00;0;;
HEB;13.02.1956 00:00;0;;
HEB;14.02.1956 00:00;0;;
HEB;15.02.1956 00:00;1.5;;
HEB;16.02.1956 00:00;1.3;;
HEB;17.02.1956 00:00;0;;
HEB;18.02.1956 00:00;0.8;;
HEB;19.02.1956 00:00;0;;
HEB;20.02.1956 00:00;0;;
HEB;21.02.1956 00:00;0;;
HEB;22.02.1956 00:00;0;;
HEB;23.02.1956 00:00;0;;
HEB;24.02.1956 00:00;0;;
HEB;25.02.1956 00:00;0;;
HEB;26.02.1956 00:00;0;;
HEB;27.02.1956 00:00;0;;
HEB;28.02.1956 00:00;0;;
HEB;29.02.1956 00:00;2.3;;
HEB;01.03.1956 00:00;0;;
HEB;02.03.1956 00:00;9;;
HEB;03.03.1956 00:00;3.5;;
HEB;04.03.1956 00:00;6;;
HEB;05.03.1956 00:00;0;;
HEB;06.03.1956 00:00;0;;
HEB;07.03.1956 00:00;1.5;;
HEB;08.03.1956 00:00;0;;
HEB;09.03.1956 00:00;0;;
HEB;10.03.1956 00:00;0;;
HEB;11.03.1956 00:00;0;;
HEB;12.03.1956 00:00;0;;
HEB;13.03.1956 00:00;0;;
HEB;14.03.1956 00:00;0;;
HEB;15.03.1956 00:00;0;;
HEB;16.03.1956 00:00;0;;
HEB;17.03.1956 00:00;0;;
HEB;18.03.1956 00:00;0;;
HEB;19.03.1956 00:00;0;;
HEB;20.03.1956 00:00;0;;
HEB;21.03.1956 00:00;0;;
HEB;22.03.1956 00:00;9.8;;
HEB;23.03.1956 00:00;0;;
HEB;24.03.1956 00:00;0;;
HEB;25.03.1956 00:00;0;;
HEB;26.03.1956 00:00;0;;
HEB;27.03.1956 00:00;0;;
HEB;28.03.1956 00:00;0;;
HEB;29.03.1956 00:00;0;;
HEB;30.03.1956 00:00;0;;
HEB;31.03.1956 00:00;2.1;;
HEB;01.04.1956 00:00;12.9;;
HEB;02.04.1956 00:00;0;;
HEB;03.04.1956 00:00;0;;
HEB;04.04.1956 00:00;0.4;;
HEB;05.04.1956 00:00;6.4;;
HEB;06.04.1956 00:00;2.8;;
HEB;07.04.1956 00:00;0;;
HEB;08.04.1956 00:00;0;;
HEB;09.04.1956 00:00;0;;
HEB;10.04.1956 00:00;0;;
HEB;11.04.1956 00:00;0;;
HEB;12.04.1956 00:00;4;;
HEB;13.04.1956 00:00;1.1;;
HEB;14.04.1956 00:00;12.3;;
HEB;15.04.1956 00:00;1.3;;
HEB;16.04.1956 00:00;6.8;;
HEB;17.04.1956 00:00;10.3;;
HEB;18.04.1956 00:00;2.5;;
HEB;19.04.1956 00:00;1.9;;
HEB;20.04.1956 00:00;0;;
HEB;21.04.1956 00:00;0;;
HEB;22.04.1956 00:00;7;;
HEB;23.04.1956 00:00;0;;
HEB;24.04.1956 00:00;0;;
HEB;25.04.1956 00:00;0;;
HEB;26.04.1956 00:00;0;;
HEB;27.04.1956 00:00;0;;
HEB;28.04.1956 00:00;0.4;;
HEB;29.04.1956 00:00;0.4;;
HEB;30.04.1956 00:00;0.4;;
HEB;01.05.1956 00:00;8;;
HEB;02.05.1956 00:00;0;;
HEB;03.05.1956 00:00;0;;
HEB;04.05.1956 00:00;0;;
HEB;05.05.1956 00:00;0;;
HEB;06.05.1956 00:00;0;;
HEB;07.05.1956 00:00;0;;
HEB;08.05.1956 00:00;0;;
HEB;09.05.1956 00:00;0;;
HEB;10.05.1956 00:00;10.3;;
HEB;11.05.1956 00:00;0.7;;
HEB;12.05.1956 00:00;13.2;;
HEB;13.05.1956 00:00;0;;
HEB;14.05.1956 00:00;0;;
HEB;15.05.1956 00:00;0;;
HEB;16.05.1956 00:00;0;;
HEB;17.05.1956 00:00;8.7;;
HEB;18.05.1956 00:00;31.9;;
HEB;19.05.1956 00:00;16.1;;
HEB;20.05.1956 00:00;0;;
HEB;21.05.1956 00:00;0;;
HEB;22.05.1956 00:00;16.7;;
HEB;23.05.1956 00:00;0;;
HEB;24.05.1956 00:00;0;;
HEB;25.05.1956 00:00;0;;
HEB;26.05.1956 00:00;0;;
HEB;27.05.1956 00:00;0;;
HEB;28.05.1956 00:00;0;;
HEB;29.05.1956 00:00;65.8;;
HEB;30.05.1956 00:00;5;;
HEB;31.05.1956 00:00;6;;
HEB;01.06.1956 00:00;4.6;;
HEB;02.06.1956 00:00;0;;
HEB;03.06.1956 00:00;0;;
HEB;04.06.1956 00:00;0;;
HEB;05.06.1956 00:00;0;;
HEB;06.06.1956 00:00;0.3;;
HEB;07.06.1956 00:00;39.4;;
HEB;08.06.1956 00:00;5.2;;
HEB;09.06.1956 00:00;1.9;;
HEB;10.06.1956 00:00;0;;
HEB;11.06.1956 00:00;0.9;;
HEB;12.06.1956 00:00;0;;
HEB;13.06.1956 00:00;1.7;;
HEB;14.06.1956 00:00;6.1;;
HEB;15.06.1956 00:00;0;;
HEB;16.06.1956 00:00;0;;
HEB;17.06.1956 00:00;4.5;;
HEB;18.06.1956 00:00;0.1;;
HEB;19.06.1956 00:00;0;;
HEB;20.06.1956 00:00;6.1;;
HEB;21.06.1956 00:00;0;;
HEB;22.06.1956 00:00;0;;
HEB;23.06.1956 00:00;0;;
HEB;24.06.1956 00:00;5.7;;
HEB;25.06.1956 00:00;0;;
HEB;26.06.1956 00:00;0;;
HEB;27.06.1956 00:00;0;;
HEB;28.06.1956 00:00;0;;
HEB;29.06.1956 00:00;0;;
HEB;30.06.1956 00:00;0;;
HEB;01.07.1956 00:00;0.1;;
HEB;02.07.1956 00:00;19;;
HEB;03.07.1956 00:00;0;;
HEB;04.07.1956 00:00;0;;
HEB;05.07.1956 00:00;0;;
HEB;06.07.1956 00:00;0;;
HEB;07.07.1956 00:00;0;;
HEB;08.07.1956 00:00;0.4;;
HEB;09.07.1956 00:00;0;;
HEB;10.07.1956 00:00;30.4;;
HEB;11.07.1956 00:00;7.9;;
HEB;12.07.1956 00:00;0;;
HEB;13.07.1956 00:00;19.5;;
HEB;14.07.1956 00:00;4;;
HEB;15.07.1956 00:00;13.3;;
HEB;16.07.1956 00:00;1.7;;
HEB;17.07.1956 00:00;0;;
HEB;18.07.1956 00:00;16.6;;
HEB;19.07.1956 00:00;24.6;;
HEB;20.07.1956 00:00;4.5;;
HEB;21.07.1956 00:00;2.5;;
HEB;22.07.1956 00:00;0;;
HEB;23.07.1956 00:00;0;;
HEB;24.07.1956 00:00;0;;
HEB;25.07.1956 00:00;0;;
HEB;26.07.1956 00:00;0;;
HEB;27.07.1956 00:00;0;;
HEB;28.07.1956 00:00;11.5;;
HEB;29.07.1956 00:00;10.4;;
HEB;30.07.1956 00:00;0;;
HEB;31.07.1956 00:00;0;;
HEB;01.08.1956 00:00;7.7;;
HEB;02.08.1956 00:00;9.2;;
HEB;03.08.1956 00:00;3.8;;
HEB;04.08.1956 00:00;0;;
HEB;05.08.1956 00:00;0;;
HEB;06.08.1956 00:00;4.2;;
HEB;07.08.1956 00:00;17.5;;
HEB;08.08.1956 00:00;0;;
HEB;09.08.1956 00:00;0;;
HEB;10.08.1956 00:00;31.8;;
HEB;11.08.1956 00:00;3.8;;
HEB;12.08.1956 00:00;0;;
HEB;13.08.1956 00:00;0;;
HEB;14.08.1956 00:00;0.5;;
HEB;15.08.1956 00:00;0;;
HEB;16.08.1956 00:00;0;;
HEB;17.08.1956 00:00;8.9;;
HEB;18.08.1956 00:00;4.7;;
HEB;19.08.1956 00:00;0;;
HEB;20.08.1956 00:00;26.8;;
HEB;21.08.1956 00:00;10;;
HEB;22.08.1956 00:00;3.1;;
HEB;23.08.1956 00:00;7.5;;
HEB;24.08.1956 00:00;4.3;;
HEB;25.08.1956 00:00;15.3;;
HEB;26.08.1956 00:00;0.3;;
HEB;27.08.1956 00:00;24.1;;
HEB;28.08.1956 00:00;3.4;;
HEB;29.08.1956 00:00;6.7;;
HEB;30.08.1956 00:00;0;;
HEB;31.08.1956 00:00;0.5;;
HEB;01.09.1956 00:00;4.6;;
HEB;02.09.1956 00:00;10.2;;
HEB;03.09.1956 00:00;8.2;;
HEB;04.09.1956 00:00;0;;
HEB;05.09.1956 00:00;0;;
HEB;06.09.1956 00:00;1.6;;
HEB;07.09.1956 00:00;0;;
HEB;08.09.1956 00:00;0;;
HEB;09.09.1956 00:00;11.3;;
HEB;10.09.1956 00:00;19.3;;
HEB;11.09.1956 00:00;0;;
HEB;12.09.1956 00:00;0;;
HEB;13.09.1956 00:00;0;;
HEB;14.09.1956 00:00;0;;
HEB;15.09.1956 00:00;0;;
HEB;16.09.1956 00:00;0;;
HEB;17.09.1956 00:00;0;;
HEB;18.09.1956 00:00;0;;
HEB;19.09.1956 00:00;0;;
HEB;20.09.1956 00:00;0;;
HEB;21.09.1956 00:00;0;;
HEB;22.09.1956 00:00;0;;
HEB;23.09.1956 00:00;0;;
HEB;24.09.1956 00:00;0;;
HEB;25.09.1956 00:00;2.2;;
HEB;26.09.1956 00:00;14.1;;
HEB;27.09.1956 00:00;5;;
HEB;28.09.1956 00:00;0;;
HEB;29.09.1956 00:00;0;;
HEB;30.09.1956 00:00;0;;
HEB;01.10.1956 00:00;0;;
HEB;02.10.1956 00:00;9.2;;
HEB;03.10.1956 00:00;21.3;;
HEB;04.10.1956 00:00;2.9;;
HEB;05.10.1956 00:00;9.2;;
HEB;06.10.1956 00:00;14.8;;
HEB;07.10.1956 00:00;4;;
HEB;08.10.1956 00:00;0;;
HEB;09.10.1956 00:00;0;;
HEB;10.10.1956 00:00;0;;
HEB;11.10.1956 00:00;0;;
HEB;12.10.1956 00:00;0;;
HEB;13.10.1956 00:00;0;;
HEB;14.10.1956 00:00;0;;
HEB;15.10.1956 00:00;0;;
HEB;16.10.1956 00:00;0;;
HEB;17.10.1956 00:00;0;;
HEB;18.10.1956 00:00;8.6;;
HEB;19.10.1956 00:00;0;;
HEB;20.10.1956 00:00;1.2;;
HEB;21.10.1956 00:00;0;;
HEB;22.10.1956 00:00;0;;
HEB;23.10.1956 00:00;0;;
HEB;24.10.1956 00:00;0;;
HEB;25.10.1956 00:00;15.5;;
HEB;26.10.1956 00:00;14;;
HEB;27.10.1956 00:00;4.3;;
HEB;28.10.1956 00:00;2.7;;
HEB;29.10.1956 00:00;6;;
HEB;30.10.1956 00:00;2.5;;
HEB;31.10.1956 00:00;0;;
HEB;01.11.1956 00:00;0;;
HEB;02.11.1956 00:00;0;;
HEB;03.11.1956 00:00;0;;
HEB;04.11.1956 00:00;1.7;;
HEB;05.11.1956 00:00;0;;
HEB;06.11.1956 00:00;0;;
HEB;07.11.1956 00:00;0;;
HEB;08.11.1956 00:00;0;;
HEB;09.11.1956 00:00;0.4;;
HEB;10.11.1956 00:00;1.2;;
HEB;11.11.1956 00:00;2.8;;
HEB;12.11.1956 00:00;0;;
HEB;13.11.1956 00:00;0;;
HEB;14.11.1956 00:00;0;;
HEB;15.11.1956 00:00;0;;
HEB;16.11.1956 00:00;0;;
HEB;17.11.1956 00:00;0;;
HEB;18.11.1956 00:00;0;;
HEB;19.11.1956 00:00;0;;
HEB;20.11.1956 00:00;0;;
HEB;21.11.1956 00:00;0;;
HEB;22.11.1956 00:00;0;;
HEB;23.11.1956 00:00;0;;
HEB;24.11.1956 00:00;0;;
HEB;25.11.1956 00:00;4.3;;
HEB;26.11.1956 00:00;0.2;;
HEB;27.11.1956 00:00;6.7;;
HEB;28.11.1956 00:00;10;;
HEB;29.11.1956 00:00;2.2;;
HEB;30.11.1956 00:00;3.6;;
HEB;01.12.1956 00:00;0;;
HEB;02.12.1956 00:00;0;;
HEB;03.12.1956 00:00;0;;
HEB;04.12.1956 00:00;0;;
HEB;05.12.1956 00:00;1;;
HEB;06.12.1956 00:00;0;;
HEB;07.12.1956 00:00;0;;
HEB;08.12.1956 00:00;0;;
HEB;09.12.1956 00:00;0;;
HEB;10.12.1956 00:00;0;;
HEB;11.12.1956 00:00;0;;
HEB;12.12.1956 00:00;0;;
HEB;13.12.1956 00:00;5.8;;
HEB;14.12.1956 00:00;0;;
HEB;15.12.1956 00:00;0;;
HEB;16.12.1956 00:00;0;;
HEB;17.12.1956 00:00;0;;
HEB;18.12.1956 00:00;0;;
HEB;19.12.1956 00:00;1;;
HEB;20.12.1956 00:00;3.8;;
HEB;21.12.1956 00:00;0;;
HEB;22.12.1956 00:00;0;;
HEB;23.12.1956 00:00;1.2;;
HEB;24.12.1956 00:00;0;;
HEB;25.12.1956 00:00;0;;
HEB;26.12.1956 00:00;2.8;;
HEB;27.12.1956 00:00;0;;
HEB;28.12.1956 00:00;0.6;;
HEB;29.12.1956 00:00;0.3;;
HEB;30.12.1956 00:00;0;;
HEB;31.12.1956 00:00;0;;
HEB;01.01.1957 00:00;0;;
HEB;02.01.1957 00:00;2;;
HEB;03.01.1957 00:00;0;;
HEB;04.01.1957 00:00;4.4;;
HEB;05.01.1957 00:00;0;;
HEB;06.01.1957 00:00;5.7;;
HEB;07.01.1957 00:00;0;;
HEB;08.01.1957 00:00;0;;
HEB;09.01.1957 00:00;0;;
HEB;10.01.1957 00:00;4.9;;
HEB;11.01.1957 00:00;0;;
HEB;12.01.1957 00:00;2.9;;
HEB;13.01.1957 00:00;3.9;;
HEB;14.01.1957 00:00;0.9;;
HEB;15.01.1957 00:00;0.6;;
HEB;16.01.1957 00:00;0.4;;
HEB;17.01.1957 00:00;0;;
HEB;18.01.1957 00:00;0;;
HEB;19.01.1957 00:00;0;;
HEB;20.01.1957 00:00;0;;
HEB;21.01.1957 00:00;0;;
HEB;22.01.1957 00:00;0;;
HEB;23.01.1957 00:00;0;;
HEB;24.01.1957 00:00;0.5;;
HEB;25.01.1957 00:00;2.7;;
HEB;26.01.1957 00:00;2.4;;
HEB;27.01.1957 00:00;0;;
HEB;28.01.1957 00:00;0;;
HEB;29.01.1957 00:00;0;;
HEB;30.01.1957 00:00;0;;
HEB;31.01.1957 00:00;2.6;;
HEB;01.02.1957 00:00;0;;
HEB;02.02.1957 00:00;0;;
HEB;03.02.1957 00:00;0;;
HEB;04.02.1957 00:00;0;;
HEB;05.02.1957 00:00;0;;
HEB;06.02.1957 00:00;5.1;;
HEB;07.02.1957 00:00;0;;
HEB;08.02.1957 00:00;7;;
HEB;09.02.1957 00:00;2.9;;
HEB;10.02.1957 00:00;12.7;;
HEB;11.02.1957 00:00;0;;
HEB;12.02.1957 00:00;5.6;;
HEB;13.02.1957 00:00;15.1;;
HEB;14.02.1957 00:00;22.1;;
HEB;15.02.1957 00:00;3.2;;
HEB;16.02.1957 00:00;15.6;;
HEB;17.02.1957 00:00;0;;
HEB;18.02.1957 00:00;2.1;;
HEB;19.02.1957 00:00;0;;
HEB;20.02.1957 00:00;2.3;;
HEB;21.02.1957 00:00;0;;
HEB;22.02.1957 00:00;6.7;;
HEB;23.02.1957 00:00;29.2;;
HEB;24.02.1957 00:00;26;;
HEB;25.02.1957 00:00;3;;
HEB;26.02.1957 00:00;0;;
HEB;27.02.1957 00:00;0;;
HEB;28.02.1957 00:00;0;;
HEB;01.03.1957 00:00;0;;
HEB;02.03.1957 00:00;0;;
HEB;03.03.1957 00:00;0;;
HEB;04.03.1957 00:00;0;;
HEB;05.03.1957 00:00;0;;
HEB;06.03.1957 00:00;6.5;;
HEB;07.03.1957 00:00;1.5;;
HEB;08.03.1957 00:00;4.1;;
HEB;09.03.1957 00:00;1.8;;
HEB;10.03.1957 00:00;0;;
HEB;11.03.1957 00:00;0;;
HEB;12.03.1957 00:00;0;;
HEB;13.03.1957 00:00;0;;
HEB;14.03.1957 00:00;0;;
HEB;15.03.1957 00:00;0;;
HEB;16.03.1957 00:00;0;;
HEB;17.03.1957 00:00;1.2;;
HEB;18.03.1957 00:00;3.2;;
HEB;19.03.1957 00:00;0;;
HEB;20.03.1957 00:00;0;;
HEB;21.03.1957 00:00;1.9;;
HEB;22.03.1957 00:00;0.2;;
HEB;23.03.1957 00:00;5.6;;
HEB;24.03.1957 00:00;0;;
HEB;25.03.1957 00:00;0;;
HEB;26.03.1957 00:00;0;;
HEB;27.03.1957 00:00;0.7;;
HEB;28.03.1957 00:00;11.1;;
HEB;29.03.1957 00:00;0;;
HEB;30.03.1957 00:00;0;;
HEB;31.03.1957 00:00;0;;
HEB;01.04.1957 00:00;0;;
HEB;02.04.1957 00:00;0;;
HEB;03.04.1957 00:00;0;;
HEB;04.04.1957 00:00;0;;
HEB;05.04.1957 00:00;1.8;;
HEB;06.04.1957 00:00;10.6;;
HEB;07.04.1957 00:00;4.5;;
HEB;08.04.1957 00:00;0;;
HEB;09.04.1957 00:00;0;;
HEB;10.04.1957 00:00;0;;
HEB;11.04.1957 00:00;1.6;;
HEB;12.04.1957 00:00;0;;
HEB;13.04.1957 00:00;0.2;;
HEB;14.04.1957 00:00;0;;
HEB;15.04.1957 00:00;0;;
HEB;16.04.1957 00:00;0;;
HEB;17.04.1957 00:00;0;;
HEB;18.04.1957 00:00;0;;
HEB;19.04.1957 00:00;0.9;;
HEB;20.04.1957 00:00;0;;
HEB;21.04.1957 00:00;0;;
HEB;22.04.1957 00:00;0;;
HEB;23.04.1957 00:00;0;;
HEB;24.04.1957 00:00;6.8;;
HEB;25.04.1957 00:00;6;;
HEB;26.04.1957 00:00;0;;
HEB;27.04.1957 00:00;0;;
HEB;28.04.1957 00:00;0;;
HEB;29.04.1957 00:00;0;;
HEB;30.04.1957 00:00;0;;
HEB;01.05.1957 00:00;0;;
HEB;02.05.1957 00:00;0;;
HEB;03.05.1957 00:00;0;;
HEB;04.05.1957 00:00;0;;
HEB;05.05.1957 00:00;0;;
HEB;06.05.1957 00:00;0;;
HEB;07.05.1957 00:00;0;;
HEB;08.05.1957 00:00;0;;
HEB;09.05.1957 00:00;0;;
HEB;10.05.1957 00:00;0;;
HEB;11.05.1957 00:00;7.1;;
HEB;12.05.1957 00:00;0.7;;
HEB;13.05.1957 00:00;4.8;;
HEB;14.05.1957 00:00;0;;
HEB;15.05.1957 00:00;21.3;;
HEB;16.05.1957 00:00;2.1;;
HEB;17.05.1957 00:00;0;;
HEB;18.05.1957 00:00;9.3;;
HEB;19.05.1957 00:00;11.8;;
HEB;20.05.1957 00:00;0;;
HEB;21.05.1957 00:00;0.2;;
HEB;22.05.1957 00:00;0;;
HEB;23.05.1957 00:00;0;;
HEB;24.05.1957 00:00;0;;
HEB;25.05.1957 00:00;0;;
HEB;26.05.1957 00:00;9;;
HEB;27.05.1957 00:00;0;;
HEB;28.05.1957 00:00;0;;
